customer_id,product_id,order_id,order_date,sales,quantity,discount,profit,row_id
GM-14455,OFF-ST-10003442,CA-2016-159695,2016-04-05,158.37,7,0.200,13.86,1
CG-12520,FUR-BO-10001798,CA-2016-152156,2016-11-08,261.96,2,0.000,41.91,2
JS-15685,OFF-AR-10004930,CA-2016-109806,2016-09-17,20.10,3,0.000,6.63,3
CG-12520,FUR-CH-10000454,CA-2016-152156,2016-11-08,731.94,3,0.000,219.58,4
RC-19825,TEC-PH-10001433,CA-2016-125318,2016-06-06,328.22,4,0.200,28.72,5
DV-13045,OFF-LA-10000240,CA-2016-138688,2016-06-12,14.62,2,0.000,6.87,6
SO-20335,FUR-TA-10000577,US-2015-108966,2015-10-11,957.58,5,0.450,-383.03,7
JS-15685,TEC-PH-10004093,CA-2016-109806,2016-09-17,73.58,2,0.200,8.28,8
JS-15685,OFF-PA-10000304,CA-2016-109806,2016-09-17,6.48,1,0.000,3.11,9
SO-20335,OFF-ST-10000760,US-2015-108966,2015-10-11,22.37,2,0.200,2.52,10
KB-16315,OFF-PA-10003177,CA-2015-149587,2015-01-31,12.96,2,0.000,6.22,11
BH-11710,FUR-FU-10001487,CA-2014-115812,2014-06-09,48.86,7,0.000,14.17,12
KB-16315,FUR-FU-10003799,CA-2015-149587,2015-01-31,53.34,3,0.000,16.54,13
BH-11710,OFF-AR-10002833,CA-2014-115812,2014-06-09,7.28,4,0.000,1.97,14
AH-10210,TEC-AC-10004469,CA-2015-155040,2015-11-10,79.90,2,0.000,35.16,15
KB-16315,OFF-BI-10002852,CA-2015-149587,2015-01-31,32.96,2,0.000,16.15,16
CB-12535,OFF-AR-10003602,CA-2017-136826,2017-06-16,14.02,3,0.200,4.73,17
BH-11710,TEC-PH-10002275,CA-2014-115812,2014-06-09,907.15,6,0.200,90.72,18
PG-18895,OFF-FA-10003472,CA-2016-111010,2016-01-22,7.56,6,0.000,0.30,19
BH-11710,OFF-BI-10003910,CA-2014-115812,2014-06-09,18.50,3,0.200,5.78,20
BH-11710,OFF-AP-10002892,CA-2014-115812,2014-06-09,114.90,5,0.000,34.47,21
RB-19705,OFF-BI-10004738,US-2017-109484,2017-11-06,5.68,1,0.700,-3.79,22
PN-18775,FUR-FU-10000629,CA-2017-161018,2017-11-09,96.53,7,0.000,40.54,23
KD-16345,OFF-BI-10001721,CA-2017-157833,2017-06-17,51.31,3,0.200,17.96,24
CA-12310,OFF-ST-10004180,US-2017-145366,2017-12-09,37.21,1,0.200,-7.44,25
BH-11710,FUR-TA-10001539,CA-2014-115812,2014-06-09,1706.18,9,0.200,85.31,26
BH-11710,TEC-PH-10002033,CA-2014-115812,2014-06-09,911.42,4,0.200,68.36,27
PK-19075,FUR-FU-10000246,CA-2016-115756,2016-09-05,12.22,1,0.000,3.67,28
AA-10480,OFF-PA-10002365,CA-2017-114412,2017-04-15,15.55,3,0.200,5.44,29
ER-13855,OFF-AP-10000358,CA-2016-149223,2016-09-06,77.88,6,0.000,22.59,30
RB-19465,OFF-PA-10003256,CA-2016-158568,2016-08-29,64.62,7,0.200,22.62,31
CA-12310,OFF-EN-10004386,US-2017-145366,2017-12-09,57.58,3,0.200,21.59,32
KH-16690,OFF-ST-10003208,CA-2017-163979,2017-12-28,725.84,4,0.000,210.49,33
RB-19465,TEC-AC-10001767,CA-2016-158568,2016-08-29,95.98,3,0.200,-10.80,34
HA-14920,TEC-AC-10003628,CA-2015-155334,2015-07-30,209.93,7,0.000,92.37,35
HA-14920,FUR-FU-10003274,CA-2015-155334,2015-07-30,5.28,3,0.000,2.32,36
HA-14920,OFF-BI-10002557,CA-2015-155334,2015-07-30,10.92,3,0.200,4.10,37
BB-10990,OFF-PA-10002615,CA-2017-118136,2017-09-16,NULL,NULL,NULL,0.00,38
BB-10990,OFF-AR-10001427,CA-2017-118136,2017-09-16,5.98,1,0.000,1.55,39
